		8
already.ápleaseáget		1
alreadyáleft.áfrom		1
also		6
alterations		1
altered		1
altogether		5
altogether;		1
always		9
am		5
amateur		1
amazed		1
ambiguously		2
amenable		1
among		3
amount		5
amuse		1
amuses		1
amy		1
amy's		1
an		78
analyst		5
analyzed		1
ancient		1
and		537
and-lo		1
andácold."áthe		1
andáthenádrop		1
anecdotist		1
angel		1
angeles		1
angry		1
anguish		1
animal		2
animation		1
anniversary		2
announcer		2
annually		1
anomalous		1
anonymous		1
another		14
another's		1
another-all		1
answer		10
answered		9
answering		1
answers		3
antipathetic		1
any		35
anybody		5
anyhow		1
anyone		1
anything		19
anything-with		1
anything:		1
anyway		5
anywhere		2
apartment		19
apartment's		3
apertures		1
aplomb		1
apocalyptical		1
apology		2
apparent		1
apparently		14
appeal		1
appealed		2
appear		1
appearance		1
appeared		3
appearing		1
appears		1
appendage		1
appertaining		1
apply		1
appointing		1
approached		1
appropriately		1
approval		1
approve		1
approved		1
apt		2
arduous		1
are		20
aren't		1
ares		1
argue		1
arguments		1
arm		9
armageddon		1
armrest		1
arms		4
army		8
arose		1
around		46
arranged		2
arresting		1
arrival		1
arrived		5
article		1
artificial		2
arts		1
as		141
ashes		4
ashtray		3
ashtrays		2
aside		4
ask		9
asked		27
asked-and		1
askew		1
asking		2
asks		1
askáyou,"áthe		1
asleep		1
asleep-or		1
aspect		1
aspesi		1
assembly		1
assure		1
asáheámade		1
at		213
ate		1
athletic		1
attachment		1
attacks		1
attempted		1
attend		1
attendant		1
attended		1
attending		1
attention		4
attentively		1
attractively		1
audible		3
audience		1
aunts		3
aura		1
auspicious		1
author		1
author-l		1
autograph		1
automatic		1
automatically		1
autumn		1
available		2
avenue		8
averted		1
avidly		1
avoid		1
avoided		1
awaiting		1
aware		3
away		12
awe		1
awful		2
awkwardness		1
aáchildáthat		1
aáman,áand		1
aánewspaper,áshe		1
aápoet.áif		1
aáprofessor.áfor		1
aásaint."áand		1
aásecretáor		1
aásoda,áand		1
b-17		1
babies		1
baby		4
bach		1
back		43
backfence		1
background		1
bad		3
bag		6
balance		1
balloon		1
band		1
banging		1
banner		2
bar		1
barbershop		1
barged		1
base		3
bases		1
basic		1
basically		4
basket		1
bastard		1
bathroom		6
bathrooms		1
bathtub		5
batrhoom		1
bayonet-like		1
bayonets		1
be		83
beam		2
beamed		1
beans		2
bear		2
bear-their		1
beast's		1
beautiful		12
beautifully		2
became		3
because		15
become		1
bed		5
bedroom		6
beds		2
beds-seymour's		1
been		57
beer		1
before		14
beg		2
began		5
begin		2
beginning		3
begun		3
behave		1
behind		19
behind-pincher		1
behold-his		1
being		13
belance		1
believe		1
believed		1
bell		1
bellowed		2
belongs		2
beloved		1
benefit		1
benning		3
bent		1
beside		6
besides		2
bessie		1
best		1
bestowed		1
better		7
betteránotábe		1
between		15
bewitching		1
beyond		2
big		1
bill		1
billy		3
biltmore		1
biographical		1
bit		8
bitch		1
blabbered		1
blabbing		1
black		8
blackout		1
blades		1
blank		2
blast		1
blasted		1
bleachers		1
blessing		2
blinds		1
block		4
blocks		2
blood		2
bloodthirstiest		1
bloodthirsty		1
bloom		1
blossom		1
blunter		1
bluntly		1
blur		2
blurring		1
blushing		1
blyth's		1
bob		2
bodily		1
body		1
bogus		1
boil		2
bolstered		1
bolt		1
bon-voyage		1
bond		1
boo		20
boo's		7
booby		1
booed		1
book		3
bookcase		1
bookish		1
bookshelves		3
bootees		1
bore		1
born		2
boston		2
both		11
bother		2
bottle		1
bottle's		1
bottleneck-like		1
bottles		1
bottom		1
bounced		1
bouquet		5
box		2
boxes		1
boy		4
boyhood		2
boyish		1
boys		2
branched		1
brass		2
brave		1
break		4
breast		2
breath		2
breathe		1
breaths		2
bridal		1
bride		6
bride's		14
bridegroom		2
bridegroom's		2
bridges		1
brief		3
briefing		1
briefly		3
briefly-but		1
briganza		3
briganza's		1
bright		2
brilliant		2
bring		4
british		1
brittle		1
broadcast		4
broadcasting		1
broke		3
brooklyn		1
brother		18
brother's		3
brothers		1
brotheráseymourá[329]		1
brought		8
brownstone		1
bruised		1
buddhism		1
buddies		1
buddy		7
buddy's		1
build		1
building		5
bulb		1
bulbs		1
bull		1
bull's		1
bullish-looking		1
bumped		1
bunch		2
bunched		1
bunching		1
bunny		1
burke		1
burn		1
burning		2
bursting		1
burwick		2
burwick's		1
bus		2
busily		1
business		4
busy		1
but		105
butter		1
buttock		1
button		2
butápenetrating.áadmiral		1
by		46
cab		5
cabinet		2
cached		1
cadetlike		1
california		1
call		4
called		5
calls		4
calm		2
came		20
came-reportedly		1
camp		1
campaign		1
can		24
can't		18
can'táwalkáthere		1
candies		1
candies-half		1
cannot		2
canonized		1
canopy		3
canvas		7
canáphoneáfrom		1
canátalk."áthe		1
cap		4
cap-a		1
captured		1
car		37
cardinal		2
care		5
carefully		1
carl		2
carpenters		2
carriage		1
cars		12
cars-cars		1
case		2
cased		1
cast		1
caste		1
casual		1
casualties		1
cat		6
catering		1
catwalk		1
caught		3
cause		1
cautionary		1
cavernous		1
ceiling		1
celebrities		1
celebrity		1
celia		1
censure		1
certain		14
certainly		3
chair		7
champion		1
chance		5
chanced		1
chances		1
change		4
changed		3
changes		2
character		2
charlotte		10
charlotte's		2
chauffeur's		1
checked		1
cheering		1
chest		1
chewed		1
chiefly		1
child		22
childhood		1
children		14
children's		4
children-good-looking		1
chin		1
chiropodist		2
chiu-fang		1
chores		1
christmastree		1
chronologically		1
chuckle		5
chuckled		1
chuckling		2
church		1
cigar		9
cigarette		16
cigarettes		2
circlet		3
circuit		1
circuitous		1
circular		1
circulated		1
circulation		2
circumstances		1
civilian		1
civilians		1
clapped		1
clear		4
clear-havana		2
clearance		1
cleared		3
clearly		3
clenched		2
clerk		2
clever		1
clinical		1
clinking		1
close		6
closed		11
closely		1
closer		2
closing		2
clothes		1
clown's		1
cloying		1
coaches		1
coal-black		1
coast		1
coat		5
coat-my		1
cocked		1
code		1
coffee		9
cohort		1
cold		10
cold-before		1
coldly		2
collapsible		1
collectively		2
college		4
collins		3
collinses		4
collinses-please		1
color		1
colorado		1
colors		1
columbia		1
column		1
combed		1
combed-almost		1
combined		1
come		15
come-back-soon		1
comes		4
comfort		1
comic		1
comics		1
coming		4
commander		1
comment		1
commentator		1
commercial		1
commissioned		1
committed		1
committee		1
common		3
commonplace		1
communication		1
companion		1
company		5
comparatively		1
comparison		1
compensations		1
competence		1
complement		1
complete		2
completely		4
completely-around		1
complex		1
comportment		1
composed		1
comprehension		1
compulsion		1
compulsive		1
con		1
concentration		1
concerned		2
concerning		1
conclusion		1
condition		2
conduct		1
conducted		1
conferred		2
confession		1
confusion		1
congregation-dispersing		1
conjunctively		1
connection		2
connoisseur		1
connubial		1
conscientious		1
conscious		2
consider		2
considerably		2
consideration		1
considerations		1
considering		3
consisted		1
consolation		1
conspicuously		1
conspires		1
constructive		2
consultation		2
consuming		1
containing		1
contents		1
continued		2
contract		2
contrary		3
convent		1
convention		1
conversation		2
conversational		2
conversationally		2
conversing		1
conviction		1
conviviality		1
convivially		1
cook's		1
cooking's		1
cool		3
coordination		1
cop		2
copy		1
cordial		1
corduroy		1
corner		3
corny		1
corporal		1
corps		8
corset		1
cot		1
cotton		1
couch		12
couch-right		1
cough		5
coughed		1
coughing		8
could		26
couldn't		12
countenance		1
counter		1
counties		1
country		1
couple		5
course		6
courtesy		1
cover		1
covering		1
cowardly		1
crack		2
cracking		1
craned		1
craning		1
crapulous		1
crazy		15
cream-cheese		1
creative		1
crib		1
cried		1
crimson		1
crisp-suggestion		1
criterion		1
critically		1
critics		1
crooked		1
crossed		2
crosses		1
crossing		1
crowd		3
crowded		2
crown		1
crowned		1
cruelly		1
crumpled		1
crushes		1
cry		1
crying		1
cryptically		1
cubes		3
cued		1
curb		8
curb;		1
curiosity		2
curled		1
curling		1
current		1
curtains		1
custody		1
custom		2
cutaway		2
cute		3
dad		1
daddy		1
damage		1
damn		1
damp		2
damply		1
dandy		1
danger		1
dark		5
darling		5
dashboard		1
date		1
dated		1
datelines		1
daughter		2
daunted-looking		1
david		1
day		11
days		8
dead		5
deadly-serious		1
deadpan		1
deaf		1
deaf-mute		1
deafening		1
deafmute		1
dear		1
death		4
death-who		1
debating		1
deceased		1
decided		3
declined		1
decorous		1
decorously		1
dedicated		1
deep		1
deeply		5
defense		1
defensively		1
deference		2
deferential		1
defiantly		1
definition		1
deflated		2
degree		2
delay		3
delayed		1
deliberately		2
delicately		1
delicatessens		1
delighted		2
delights		1
delinquent		1
deliver		1
deliverer		1
deliveverd		1
demanded		4
demeanor		1
democratic:		1
deny		1
deodorants		1
departed		1
depended		1
deploying		1
deportment		1
deposited-almost		1
deprived		1
dermatologist		1
derogatory		1
describe		1
desecrate		1
deserves		1
designs		1
desirable		1
desired		1
desk		9
desperately		1
desperation		1
despicable		1
despise		1
despite		4
dessert		1
destined		1
destructible		1
detachment		1
detail		2
details		1
details;		1
detroit		1
development		2
developments		1
dial		2
diaphragm		2
diary		9
diary-actually		1
dickie		3
did		37
did-a		1
didn't		38
die		3
diego		1
different		1
difficult		2
diffident		1
dilettante		1
diminished		1
dimly		2
din		3
dinner		9
dip		1
directed		1
directing		1
direction		5
directions		1
directly		13
dirty		2
disagree		1
disappearance		1
disappeared		1
disappears		1
disapproval		1
disapprove		1
disarming		1
discharged		1
discipline		1
discomfort		3
disconnected		1
discovered		1
discreetly		1
discriminating		1
discussing		1
discussion		1
disembodied		1
disengaged		2
disentangled		1
disguise		2
dishonest		1
disingenuous		1
disorderly		1
dispatched		1
dispense		1
dispersed		1
displeased		1
disposal		1
dispossess		1
dispute		2
distance		3
distant		1
distinct		2
distinctly		3
distinguish		1
distracted		1
district		1
disturbed		1
disturbers		1
dizziness		1
dizzy		1
do		29
does		11
doesn't		6
doing		3
doll		1
don't		48
don'táknow,ábut		1
done		5
doomsday		1
door		17
door's		1
doorman		1
doors		5
doorway		1
dotted		1
double		1
double-parked		1
doubt		3
doubts		1
down		36
down-inevitably		1
downy		1
dozen		1
dozens-you		1
dr		1
drafted		2
draftee's		1
drafts.á"golly,áthey're		1
dragged		2
dramatic		1
drank		3
draw		1
drawer		1
dreamy		1
dress		3
dressed		2
drink		13
drinker		1
drinking		2
drinks		5
dripping		1
drive		3
driven		1
driver		8
driver's		5
driveway		2
drop		4
dropped		4
dropping		1
droves		1
drugstore		1
drum-and-bugle		4
drums		1
dry		1
due		1
duke		4
dumb-he's		1
dun-colored		1
duration		1
during		6
dust		2
dusty		1
duty		1
dwarf		1
dwell		1
dyckman		1
each		9
ear		6
earlier		6
early		3
ears		3
earshot		1
earth		2
eased		1
easily		2
east		3
easy		11
eat		2
eavesdropping		1
ecstatic		1
edge		3
edging		1
edie		1
education		1
efficacy		1
effort		2
effulgent		1
eight		2
eight-by-ten		1
eighties		1
eighty		1
either		13
elaborately		1
elbow		1
elderly		7
eldest		3
elevate		1
elevator		3
eleven-thirty		1
eligibility		1
eloped		1
eloped?"ásaid		1
eloquent		2
eloquently		1
else		5
else-ask		1
elusive		1
elysium		1
em		1
emanated		1
emancipated		1
embarrass		1
embarrassed		1
emerged		1
emergencies		1
emily		1
empathy		1
emphasis		1
emphasis-no		1
emphasized		1
employ		1
empty		5
emptying		1
enamel		1
encasement		1
enchanted		1
enclosed		1
encouragingly		1
end		11
end-a		1
endless		2
endlessly		1
ends		1
energy		2
enforced		1
engaged		2
engaging		1
english		1
engrossed		1
enigmatic-the		1
enjoy		1
enormous		4
enough		17
ensconced		1
ensign		1
ensign's		1
entered		2
entering		1
enthusiasm		1
enthusiastically		2
entire		6
entries		1
entry		2
enviable		1
equate		1
equipoise		1
erect		1
especially		6
essential		1
essentially		1
estrangement		2
etc		2
eternal		1
eternity		1
ethos		1
etiquette		1
evanescent		1
even		26
evening		4
event		1
ever		24
every		7
everybody		12
everybody's		1
everyday		1
everyone		2
everything		8
everything's		4
everyásumma-cum-laudeáthinker		1
evidently		7
evoked		1
exact		2
exactly		9
examine		1
examined		1
examining		1
example		1
exceedingly		2
except		4
exceptionally		1
excessive		2
excessively		3
exchange		1
exchanged		3
exchanging		1
exclusively		1
excuse		2
executed		1
exhaling		2
exhausted		1
exhibitionist		2
existed		1
exodus		1
expanded		1
expecting		1
expense		1
experimentally		2
explain		1
explainable		1
explains		2
explanation		1
exploratively		1
exploring		1
explosively		1
express		1
expressing		1
expression		6
expressions		2
expressively		2
extended		1
extending		1
extensive		1
extent		1
exterior		1
external		1
extinguished		1
extra		2
extracted		1
extraordinarily		2
extravagant		1
extravagantly		2
eye		3
eyebrows		2
eyeglasses;		1
eyes		17
eyes-all		1
eyewitnesses		1
f		1
face		16
face-but		1
faced		8
faces		4
facial		1
facing		1
fact		26
facts		3
fail		2
fainted		1
faintly		5
fair		1
fairly		3
fairness		1
fake		1
fall		1
false		1
familiar		4
familiarity		1
family		15
family"-had		1
famous-actress-singer		1
fan		1
far		13
far's		1
farthest		1
fashionably		1
fate		1
father		5
father's		9
favored		1
favorite		4
favorite-at		1
features		1
fedder		15
fedder'll		1
fedder's		2
fedders		1
feel		10
feeling		8
feelings		1
feels		2
feelsásteadieráor		1
feenolax		1
feet		9
fell		2
fellow-passengers		1
felt		16
female		1
fender		1
ferocious		1
ferociously		2
festive		1
fetch		1
few		9
fiance		1
fiancee		3
field-artillery		1
fifteen		2
fifth		3
fifty		1
fiftyáyearsáor		1
fighting		1
filial		1
filing		1
fill		3
filled		2
finally		6
find		9
finding		1
fine		3
finger		6
fingernail		1
fingers		4
fingertip		1
finish		1
finished		4
fire		1
first		32
first-class		1
fist		1
fists		1
five		7
fixed		3
fixedly		1
flash		2
flashlight		3
flat		1
flatly		1
fleeting		1
fleshier		1
flicked		3
flight		3
floor		10
florida		1
flowers		2
flows		1
flue		1
flung		2
fly		4
focal		1
folded		3
folder		5
folding		1
follow		1
followed		4
following		2
follows		3
fondly		1
fooled		1
fools		1
foot		4
footing		1
for		164
forbidden		1
forbiddingly		1
force		2
forehead		2
foresight		1
forever		4
forfeit		1
forget		1
forget-me-nots		1
forgets		1
forgive		1
forgot		1
forgotten		2
form		2
format		1
formed		1
formerly		1
formidable-looking		2
fort		4
forth		1
forthcoming		2
forthright		1
forthrightness		1
fortunately		1
forward		7
forwarded		1
foráthat,"áshe		1
foráweeks,"áthe		1
found		6
fountain		2
four		9
four-or		1
fourth-rate		1
fractional		1
fracture		1
fractured		1
fragilely		1
fragments		1
frame		1
framed		1
franny		9
frantically		1
fraternal		1
fraternally		1
freakish		1
free		2
freezing		2
fresh		3
freshly		4
freshman		1
friend		10
friend-seemed		1
friends		3
frighten		1
from		78
front		12
frozen		1
frustration		1
fuel		1
full		5
fully		1
funeral		1
funny		5
furnace		1
furry		1
further		2
furtively		1
g		1
g'mon		1
g.q		1
gaff		1
gait		1
gallagher		1
gandhi		1
gardenia		3
gardenias		2
garment		1
garrison		1
garson		1
garson's		1
gather		1
gathered		4
gathered-i		1
gave		10
gazing		1
general		9
generally		2
generated		1
generation		1
genteel-on		1
gentleman		1
gentleman's		1
gentleness		1
gently		1
genuine		3
genuinely		2
georgia		2
georgie		1
germ-free		1
geste.áit		1
gesture		2
get		45
gets		3
getting		6
gettysburg		2
gharlotte's		1
ghost		1
giant		1
gifts		2
gin		2
girdle		1
girl		5
girlish		1
girls		1
give		6
given		2
gives		1
giving		6
glance		1
glanced		6
glare		1
glaring		3
glass		12
glasses		2
glimmer		1
glorious		1
glossy		1
go		27
goals		1
goast-to-coast		1
god		17
god's		4
god-damn		1
goes		3
goggle-eyed		1
going		19
gold		1
golly		1
gone		2
gonna		4
good		15
goodbye		3
goodness		3
gosh		2
got		36
gotta		1
goábeyondápoetry		1
grabbed		1
gracious		1
grandmother's		2
grant		1
grant-if		1
granted		1
graphic		1
grateful		2
gratification		1
gratitude		2
gravitated		2
gravy		2
great		11
greatest		1
greedy		1
green		1
greer		2
greet		1
greeted		1
greeting		2
greetings		1
gregariously		1
grilled		1
grim		2
grimly		1
grin		4
grinned		3
grinning		3
grins		1
grip		1
gripes		1
grit		1
groan		1
groin		1
groom		4
groom's		2
groom've		1
grooms		1
ground		2
group		2
grow		1
guaranteed		1
guardedly		1
guess		1
guest		5
guest-whom		1
guests		9
guillotine		1
guilty		1
gummy		1
gust		1
gusto		1
had		138
hadn't		12
hailed		1
hair		7
half		4
half-full		1
halfway		3
hall		7
halting		1
hamper		6
hand		16
handbag		1
handed		4
handkerchief		1
hands		11
handsome		2
handwriting		2
hang		1
happen		3
happened		5
happens		1
happier		1
happily		1
happiness		2
happiness.áfollowed		1
happy		8
happyáhappyáwith		1
hard		3
hardly		4
harmlessness		1
hart		1
has		21
hastily-almost		1
hat		13
hatch		1
hate		2
hated		1
haunted		1
havana		1
have		72
haven't		9
having		10
hawker		1
he		180
he'd		11
he's		11
head		26
head-the		1
headache		1
headpiece		1
heads		3
health		3
hear		3
heard		14
hearing		1
heart		3
hearty		1
heat		2
heaved		1
heaven's		1
heavily		3
heavy		6
heels		1
hefty		1
held		4
helen		2
hellishly		1
hello		2
help		3
helped		1
helping		1
hemorrhage		1
her		260
her-i		1
her:		1
herculean		1
herd-and		1
here		25
here-or		1
here-was		1
hers		1
herself		5
herself:		1
hesitations		1
heámayábe-it's		1
hi		2
hide		1
high		4
high-i.q		1
highest		2
highly		1
hill		1
him		69
him-a		1
him-almost		1
him-or		1
himself		5
hinds		1
hip		3
hip-pressed		1
hired		2
his		109
hisámind,áwhy		1
hit		3
hold		1
holding		4
hole		1
hollow		1
home		6
homely		2
homily		1
homosexual		3
honest		2
honestly		2
honesty		1
honey		3
honor		85
honor's		14
honor-or		1
honorably		1
hood-if		1
hop		1
hope		1
hope-the		1
hoped		1
hoping		1
horrible		3
horse		6
horse-one		1
horses		6
hospital		4
host		2
hostilely		1
hot		9
hotel		7
hotter		1
hottest		1
hour		7
hour-he		1
hours		3
house		12
houses		2
housing		1
how		32
how's		1
however		13
however-by		1
human		2
human-size		1
humor		2
hundred		1
hung		1
hungry		1
hunkydory		1
hurry		1
hurt		1
hurting		1
husband		21
husband's		3
husband-and		1
husband.á		1
hustling		1
huts		1
hygienic		2
hypochondriac's		1
hypochondriacs		1
i		653
i'd		47
i'd've		2
i'll		14
i'm		37
i'másorry"áthe		1
i've		21
i-our		1
ice		4
idea		7
ideas		1
identical		1
identification		1
idiotic		2
if		65
ignition		1
ignominious		1
image		1
images		1
imaginary		1
imagine		1
imagining		1
immeasurable		1
immediate		8
immediately		5
immobility		1
immoderately		2
impact		1
impatience		1
impatiently		1
imperceptible		1
imperfect		1
impersonally-and		1
impetus		1
import		1
importunately		1
impractical		1
impressed		1
impression		3
impressively		1
impulse		8
in		366
in;		1
inane		1
inch		1
inches		3
incidental		2
incidentally		3
incinerator		1
inclination		1
included		1
inclusive		1
income		1
incongruous		1
increased		1
increasing		1
increasingly		1
incredible		3
indecipherably		1
indeed		2
indefinitely		1
independence		1
independently		1
indescribably		1
index		1
indicate		1
indicated		1
indicator		1
indifference		1
indifferent		1
indigent		1
indignation		1
indiscriminately		1
indiscrimination		1
indisposed		1
individual		1
induction		1
induction-that		1
indulge		1
inertly		1
inexhaustible		1
infantry		1
inferior		1
infinitely		1
inflection		2
inform		1
information		5
information-almost		1
infrequently		1
ingratiating		1
ingredients		1
inhaled		1
inhaling		1
injury		1
inquired		2
inquisitively		1
insane		1
insanity		1
inscription		1
insert		1
inserted		1
inside		4
insidiously		1
insisted		1
insolently		1
inspection		1
inspired		1
instance		1
instant		9
instead		4
institution		1
insularity		1
intact		2
integrated		1
intellectual		1
intelligence		1
intelligent		2
intend		1
intended		2
intent		1
intention		1
interest		4
interested		5
interestedly		2
interesting		3
intermittent		1
interrupted		6
intersection		2
intervals-with		1
intimidating		2
into		51
intrepid		1
introduced		1
intuited		1
intuition		1
intuitive-that		1
invalided		1
invariably		3
invective		1
investigate		1
invisible		2
invisibly		1
invitation		5
invitations		1
invited		1
inviting		1
involved		1
inward		1
ináriverdsde.ádoes		1
iota		1
iron		1
irony		2
irritable		1
irritably		3
irritating		1
irving		1
is		72
isn't		8
isolation		1
issue		1
issued		1
it		266
it'll		3
it's		24
it-or		1
it-you		1
it;		1
it?áthen,áwhen		1
italics		1
itching		1
its		17
itself		8
itself;		1
itáisásad		1
itáwasábefore		1
iábelieve,áhe		1
iáhad		1
iáknewáyou		1
iámeanáit		2
jacket		3
jam-packed		1
japan		1
jelled		1
jerome		1
job		1
join		2
joined		1
joke		4
jokes		1
jounced		1
joy		1
jubilant		1
judge		4
juice		1
jump		7
jump-of		1
jump-seat		3
jumped		5
jumping		1
june		2
jungian		1
just		101
justice		1
justábargeáthrough		1
justádreamtáthat		1
justásitáhere		1
k.p		1
kao		3
keener		1
keep		3
keeping		1
keeps		5
keepsake		1
kept		3
ketchup		3
keyed		2
kid		6
kid's		1
kids		1
kill		1
killed		1
kind		23
kinds		1
kiss		1
kitchen		6
kitten		4
kittens		1
knees		1
knew		8
knitting		1
know		44
know-discreetáand		1
know-intelligently		1
know-so		1
know."áshe		1
knowledge		1
known		1
knows		5
knowáwhatái'd		1
laboriously		1
laconic		1
lacquered		1
lady		1
laid		1
lake		1
landed		1
landing		1
language-but		1
lap		3
lap.á"ooo,áit		1
lapel		1
largely		1
last		12
late		6
late-afternoon		1
latent		3
later		7
latest		1
latter		1
laugh		5
laughed		3
laughing		1
laughter-as		1
laundered		1
laundry		4
lavender-haired		1
lay		2
layer		1
lead		3
leaden		1
leadenly		1
leader		2
leader's		1
leading		2
leads		1
leafing		1
leaned		1
leaning		2
learn		3
learned		2
least		13
leave		10
leaves		2
led		2
ledge		1
left		21
legibly		1
legs		2
lemon-yellow		1
lemons		2
lend		1
length		2
lenitive		1
lent		1
les		1
less		9
lessáhappyáor		1
let		8
let's		5
letter		7
letters		3
levelled		1
lexington		2
liar		2
lid		1
lie		1
lied		1
lieu		1
lieutenant		38
lieutenant's		4
life		11
lifting		1
light		6
lighted		2
lighting		1
like		51
liked		1
likely		1
lima		1
limes		2
limited		3
limousine		1
limp		2
lincoln		1
line		4
lingered		1
lining		1
lip		2
lips		4
lipstick		1
lipsticked		1
liquid		1
liquor		1
lisa		1
listen		3
listening		2
lit		1
literally		3
literature		1
little		44
little-girlish		1
littleáhands		1
live		3
lived		1
livery-a		1
lives		1
living		8
lo		3
lo:		1
loaded		7
loading		1
loathe		1
loathed		1
lobby		3
local		2
location		1
lock		1
loew's		1
logical		1
lohengrin		2
loitering-deteriorated		1
lone		1
loneliness		1
lonely		1
long		17
longchamps		1
longer		5
longáislandáor		1
look		29
looked		47
lookedátoáher		1
looking		14
looking-in		1
looks		4
loosed		1
lopsided		1
los		1
lose		2
loses		1
lost		2
lot		2
loudly		1
louis		1
love		11
loved		4
lovely		4
loves		4
lovingly		1
low		2
lower		1
ltd		1
luck		1
lucky		1
luggage		1
lun		1
lunged		1
luxury		1
lying		1
m		11
m.p.s		1
mac		1
macadam		1
macduff		1
mad		1
made		16
made:		1
madison		5
magazine		3
mahatma		1
mail		1
main		3
mainly		1
maintaining		1
majored		1
make		14
makes		7
makeup		5
making		3
male		2
man		31
man's		2
man-to		1
managed		1
maniac		1
manning		1
many		5
map		1
marbles		1
march		1
mare		1
marital		1
mark		1
markedly		1
marks		1
marriage		6
married		5
married-yes,ámarried,áso		1
marrying		1
martial		1
marvellously		1
maryland		1
mashed		1
mask		1
master		2
masterpiece		1
match		2
matches		5
mate		1
materialized		1
maternal		1
maternity		1
matron		100
matter		10
mattered		1
maximum		1
may		15
maybe		4
mayhew		1
me		177
me,áfamiliaráwith		1
me,áfrivolousáwith		1
me-and		1
me-for		1
me.á"georgieáblack		1
me:		1
mean		36
means		4
meant		4
meanwhile		1
measles		1
mechanism		1
mediacy		1
medical		1
medicine-cabinet		2
meet		2
meeting		2
megaphone		1
melodiously		1
melted		1
member		1
members		1
memorize		1
men		6
men's-room		1
mention		5
mentioned		5
mess		1
message		3
messages		3
met		12
metal		4
metamorphic		1
metro-goldwyn-mayer		1
microphone		1
middle		5
middle-aged		1
midget		1
midnight		1
might		22
mild		1
mildly		1
military		1
milk		1
mince		1
mind		7
mine		10
minor		1
minute		13
minute-i		1
minute.ái		1
minutes		15
minutes,áthat's		1
minutes.ájustátwo		1
minutes.áoh		1
miraculously		2
mirror		2
mirror:		1
miscellany		1
misleading		1
missed		1
missing		2
mistake		3
mixed		2
mixing		1
mixture		1
mob		2
mobs		1
moderately		1
moist		1
moment		14
moment-a		1
moment-and		1
moments		1
mona		1
monasteries		1
money		2
monk		2
monmouth		2
months		5
moral		1
morality		1
more		33
morning		7
morning's		1
morocco-bound		1
mortality		1
most		14
mostly		2
mostáimpureáe-flat		1
mother		24
mother's		3
mothers-in-law		1
motion		1
motion-picture		2
motioned		1
motionless		1
motions		1
motive		1
motives		1
motley		2
mouth		14
move		3
moved		3
movement		1
movie		3
movies		3
moving		1
mr		1
mrs		113
mu		2
much		16
multi-flashbulb-like		1
mumps		1
murder		1
murderous		1
muriel		33
muriel's		10
murray		1
muscles		1
mused		1
music		2
musical		1
must		11
mutiny		1
my		193
myself		12
mysterious		1
myágosh.áhonestly		1
myátongue's		1
naive		1
name		8
named		1
names		1
narrowed		1
nasty		2
national		2
natural		1
naturally		1
naval		3
navy-blue		1
near		5
nearer		1
nearest		1
nearly		6
neck		2
need		4
needed		1
needs		1
neglects		1
neither		1
nervous		1
nervously		5
nets		1
neutral		1
neutrally		1
never		25
neverágrown		1
new		9
newly		4
news		1
next		6
nice		8
night		15
nightmare		1
nights		1
nine		7
no		48
no-that		1
nobody'sámet		1
nodded		7
nodding		1
noisy		2
nominally		2
none		3
none-reached		1
nonetheless		1
nor		2
normal		9
normaláchildhoodáor		1
